url,title,description,content
https://vnexpress.net/oto-con-tat-dau-xe-cuu-hoa-lam-ba-nguoi-linh-bi-thuong-4961547.html,Ôtô con tạt đầu xe cứu hỏa làm ba người lính bị thương,MỹTài xế 20 tuổi điều khiển xe con vọt lên từ bên trái và sượt vào xe cứu hỏa đang quay đầu.,"Javohir Asrorov, 20 tuổi, nhận được lệnh triệu tập từ cảnh sát Aurora, bang Colorado, sau khi cắt ngang một xe cứu hỏa đang ứng phó khẩn cấp, dẫn đến va chạm và ba lính cứu hỏa phải nhập viện, trưa 6/11. Khi đó, chiếc xe ưu tiên bật đèn và còi khẩn cấp nhưng vẫn bị tài xế trẻ tuổi tạt đầu.
Ba lính cứu hỏa đã được đưa đến bệnh viện với những vết thương nhẹ. Không rõ Asrorov có bị thương tích gì không. Va chạm khiến cửa xe con bên trái bị xé toạc, để lộ phần bên trong ốp cửa.
Nhân sự việc này, cảnh sát Aurora đang nhắc nhở các tài xế về tầm quan trọng của việc nhường đường cho xe cứu hỏa. ""Đèn khẩn cấp báo hiệu có người cần giúp đỡ, đừng làm tình hình tệ hơn bằng cách cản đường, nếu không xe của bạn có thể sẽ trông giống như thế này"", Sở Cảnh sát Aurora cho biết trên X.
Trong khi đó, Asrorov không những không nhường đường cho xe khẩn cấp, mà còn không có đăng ký xe và không có bảo hiểm.
Mỹ Anh(theoKDVR)"
https://vnexpress.net/tai-xe-dung-drone-cua-oto-tham-thinh-dam-tac-duong-4961056.html,Tài xế dùng drone của ôtô thám thính đám tắc đường,"Trung QuốcChiếc drone bay lên cao, giúp tài xế quan sát giao thông phía trước rồi quay lại, chui gọn vào chiếc hộp trên nóc xe.","Video do người trên ôtô cùng chiều phía sau ghi lại, cho thấy chiếc drone từ trên cao đáp xuống nóc chiếc SUV. Sau ít giây vào đúng vị trí, drone biến mất khi hai cánh cửa trên nóc đóng lại. Cả hai xe đều đang dừng giữa ít nhất hai dòng xe trên đường, với đoạn tắc dường như khá dài.
Chiếc SUV trong video là Fang Cheng Bao Bao 8 (hay Fangchengbao Bao 8), một chiếc SUV hybrid thuộc thương hiệu xe điện hạng sang của BYD. Thương hiệu này được giới thiệu vào tháng 6/2023 và chủ yếu sản xuất các loại SUV hướng đến hiệu suất cao chuyên off-road.
Fangchengbao Bao 8 chỉ là một trong số các mẫu xe của BYD trang bị hệ thống drone tích hợp sẵn tên Ling Yuan. Đây là kết quả hợp tác giữa BYD và DJI, công ty chế tạo drone của Trung Quốc.
Phần cứng của hệ thống bao gồm hộp chứa, drone, một tay cầm mô-đun. Hộp chứa drone có diện tích 0,29 m2 khi mở với độ dày 21,5 cm.
Hệ thống hỗ trợ cất cánh và hạ cánh với tốc độ lên đến 25 km/h và drone tự động quay trở lại trong vòng 2 km. Drone có thể bay theo một phương tiện với tốc độ lên đến 54 km/h.
Khi pin sắp hết, drone sẽ tự động quay trở lại xe để sạc, với mức từ 20% lên đến 80% trong 30 phút.
Mỹ Anh(theoCnEVPost)"
https://vnexpress.net/hang-xe-dien-my-lam-theo-tesla-tra-ceo-4-6-ty-usd-4961472.html,"Hãng xe điện Mỹ làm theo Tesla, trả CEO 4,6 tỷ USD","Nhà sản xuất xe điện Rivian trao cho CEO RJ Scaringe gói thù lao trị giá tới 4,6 tỷ USD trong vòng 10 năm tới.","Thỏa thuận của Rivian và Scaringe cũng giống với điều mà CEO Tesla, Elon Musk, nhận được trong cuộc họp đại hội cổ đông hôm 6/11.
Động thái của hội đồng quản trị Rivian cho thấy kế hoạch Tesla dành cho Musk có thể trở thành hình mẫu cho các công ty muốn tăng trưởng nhanh. Gói thù lao của Rivian dành cho Scaringe có thể là một trong những gói lương cao nhất trong lịch sử hãng, tùy thuộc vào việc đạt được các mục tiêu hiệu suất nào.
Rivian cho biết kế hoạch này sẽ giữ chân nhà sáng lập và giúp ông tập trung vào tăng trưởng và lợi nhuận khi nhà sản xuất ôtô, nổi tiếng với chiếc SUV R1S và bán tải R1T, chuẩn bị ra mắt mẫu SUV R2 nhỏ gọn và giá cả phải chăng hơn vào năm tới, cạnh tranh với crossover Model Y bán chạy nhất của Tesla.
Kế hoạch mới của Rivian thay thế kế hoạch mà hội đồng quản trị cho rằng khó có thể đạt được, với mục tiêu thấp hơn về tăng trưởng cổ phiếu.
Việc xóa bỏ các khoản ưu đãi xe điện dự kiến làm giảm doanh số trong suốt thời gian còn lại của năm nay. Rivian đã tăng cường cắt giảm chi phí và gần đây sa thải khoảng 600 nhân viên, tương đương 4,5% lực lượng lao động.
""Mặc dù Rivian có thể không phải là bản sao trực tiếp, nhưng chắc chắn có những đặc điểm tương đồng với Elon Musk"", Yonat Assayag, đối tác tại công ty tư vấn lương thưởng ClearBridge Compensation Group, cho biết.
Lời đề nghị này cho thấy các công ty khác đang học theo mô hình Tesla trong việc gắn các khoản thưởng lớn cho CEO với tiềm năng tăng trưởng thị trường lớn, theo Assayag, thêm rằng một số bên đã liên hệ với công ty của bà để tìm kiếm các thiết kế lương thưởng cho giám đốc điều hành tương tự. ""Không phải để theo kịp Musk, mà là lấy cảm hứng từ phần thưởng của Musk"".
Mặc dù các gói thù lao với các mục tiêu đầy tham vọng nghe có vẻ hấp dẫn, nhưng những cấu trúc như vậy có thể không phải lúc nào cũng hiệu quả đối với các nhà lãnh đạo công ty. Nhiều người trong số họ đang phải vật lộn để đạt được các mục tiêu với các chính sách thay đổi và những khó khăn kinh tế trong những năm qua, Amit Batish, giám đốc công ty nghiên cứu Equilar, cho biết.
Theo kế hoạch mới, CEO Scaringe sẽ nhận được quyền chọn mua tối đa 36,5 triệu cổ phiếu loại A của Rivian, nhiều hơn khoảng 16 triệu cổ phiếu so với khoản tài trợ trước đó, với giá thực hiện là 15,22 USD mỗi cổ phiếu, công ty cho biết trong hồ sơ gửi lên Ủy ban Chứng khoán Mỹ (SEC).
Rivian là một công ty công nghệ và sản xuất xe điện thành lập năm 2009. Hãng hiện mới có hai sản phẩm bán tại Mỹ, là SUV R1S và bán tải R1T. Hai mẫu xe tiếp theo là SUV R2 dự kiến bán trong 2026 và SUV R3 hiện chưa có nhiều thông tin.
Rivian từng có kế hoạch xây dựng một mạng lưới sạc độc quyền tại Mỹ và Canada vào cuối năm 2023. Tuy nhiên, vào tháng 6/2023, có thông tin cho biết Rivian áp dụng hệ thống sạc Bắc Mỹ (NACS) cho các loại xe của mình tại Bắc Mỹ bắt đầu từ mẫu xe năm 2026.
Mỹ Anh(theoReuters)"
https://vnexpress.net/ba-concept-xe-dien-hoa-cua-yamaha-tu-hybrid-den-thuan-dien-4961588.html,Ba concept xe điện hóa của Yamaha: từ hybrid đến thuần điện,"Ba nguyên mẫu gồm tay ga hybrid Proto HEV, môtô plug-in hybrid Proto PHEV và môtô thuần điện Proto BEV, thể hiện chiến lược điện hóa từng bước của Yamaha.","Mới đây, Yamaha đã ra mắt ba dòng xe nguyên mẫu (prototype) điện hóa, bao gồm Proto HEV (tay ga hybrid), Proto PHEV (môtô plug-in hybrid) và Proto BEV (môtô thuần điện) tại Japan Mobility Show 2025, đánh dấu bước tiến mới trong chiến lược điện hóa từng bước và nỗ lực giảm phát thải của hãng.
Proto HEV: xe tay ga hybrid tiết kiệm nhiên liệu
Proto HEV là mẫu xe tay ga lai điện, có thiết kế mới lạ, không giống như những mẫu xe tay ga cỡ lớn khác của hãng Nhật. Khu vực sàn để chân thấp, yên rộng và cao dần về phía sau giúp tư thế ngồi thoải mái khi di chuyển xa. Màu sơn đen phối bạc mờ, kèm điểm nhấn xanh lam tượng trưng cho công nghệ điện hóa của Yamaha.
Mẫu xe sử dụng hệ truyền động hybrid nối tiếp - song song (SPHEV) do Yamaha phát triển, kết hợp động cơ xăng và môtơ điện nhằm tối ưu công suất, nhưng tiết kiệm nhiên liệu. Hệ thống này cho phép xe vận hành ở hai chế độ: Serene - ưu tiên êm ái và tiết kiệm khi chạy đô thị, và Spirited - kết hợp cả hai nguồn năng lượng để tăng lực kéo khi tăng tốc hoặc chạy đường trường.
Theo hãng, hệ thống quản lý năng lượng mới giúp Proto HEV giảm hơn 35% nhiên liệu so với các mẫu tay ga tương đương. Mục tiêu của Yamaha là tạo ra một mẫu xe vừa êm ái khi di chuyển trong đô thị, nhưng vẫn đủ mạnh mẽ khi đi đường trường. Proto HEV được xem như một giải pháp trung hòa cho những thị trường chưa sẵn hạ tầng sạc công cộng, đặc biệt tại châu Á, nơi xe tay ga vẫn chiếm tỷ trọng lớn.
Proto PHEV: môtô plug-in hybrid hiệu suất cao
Nếu Proto HEV hướng đến người dùng phổ thông, thì Proto PHEV là bước thử nghiệm trong phân khúc môtô hiệu suất cao. Mẫu xe được phát triển dựa trên nền tảng naked-bike MT-09, trang bị động cơ ba xi-lanh 890 phân khối, công suất khoảng 118 mã lực, kết hợp cùng môtơ điện và bộ pin có thể sạc ngoài.
Cấu hình plug-in hybrid cho phép xe chạy hoàn toàn bằng điện trên quãng ngắn hoặc dùng song song hai nguồn năng lượng để tăng sức kéo. Hệ thống làm mát riêng cho cụm pin được thiết kế qua các ống dẫn khí lớn ở hai bên thân, giúp duy trì hiệu suất ở tốc độ cao.
Dù là chỉ là xe nguyên mẫu, Proto PHEV đã có đầy đủ đèn chiếu sáng, giá biển số và cụm đồng hồ điện tử, cho thấy mức độ hoàn thiện cao. Yamaha kỳ vọng mẫu xe này giữ được ""cảm giác lái"" quen thuộc, đồng thời giảm phát thải so với môtô truyền thống.
Proto BEV: môtô thuần điện
Đại diện cho tầm nhìn xa hơn của hãng, Proto BEV là mẫu môtô thuần điện, sử dụng pin dung lượng lớn. Yamaha mô tả đây là nền tảng thử nghiệm cho thế hệ xe thể thao điện với phản hồi ga tức thời và khả năng vận hành mượt mà, không tiếng ồn.
Khung gầm của Proto BEV được thiết kế với độ cứng và trọng tâm tương tự các mẫu supersport dùng động cơ đốt trong, nhằm giữ cảm giác lái đặc trưng. Đáng chú ý, xe được trang bị hệ thống loa mô phỏng tiếng động cơ, giúp người lái cảm nhận trạng thái vận hành, và duy trì ""cảm xúc cơ khí"" trên xe điện.
Dù chưa công bố thông số về công suất hay dung lượng pin, nguyên mẫu này cho thấy hướng phát triển điện hóa trong tương lai của Yamaha, nhưng vẫn đặt yếu tố ""thú vị khi lái"" lên hàng đầu.
Ba nguyên mẫu HEV, PHEV và BEV cho thấy chiến lược điện hóa từng bước của Yamaha: bắt đầu bằng hybrid nhẹ, tiếp đến là hybrid cắm sạc, và cuối cùng là thuần điện. Cách tiếp cận này giúp hãng duy trì tính thực tiễn ở thị trường xe máy truyền thống, đồng thời chuẩn bị cho kỷ nguyên phương tiện không phát thải, tiến tới mục tiêu trung hòa carbon vào năm 2050.
Không chỉ dừng ở sản phẩm, Yamaha còn từng bước giảm phát thải trong quy trình sản xuất. Trong năm nay, hãng đã đưa vào vận hành dây chuyền CN1 sơn trung hòa carbon đầu tiên trong ngành xe máy tại nhà máy Iwata (Nhật Bản). Dây chuyền này thay thế hoàn toàn hệ thống đốt nhiên liệu hóa thạch bằng hệ thống nung và xử lý sơn dùng điện, kết hợp tái sử dụng khí nóng và vật liệu cách nhiệt mới giúp giảm thất thoát nhiệt tới 60%. Bên cạnh việc giảm phát thải, CN1 còn cải thiện điều kiện làm việc cho nhân viên và mở ra khả năng phát triển các công nghệ sơn mới cho những mẫu xe tương lai.
Hồ Tân"
https://vnexpress.net/subaru-forester-va-crosstrek-nhan-uu-dai-308-trieu-dong-4961771.html,Subaru Forester và Crosstrek nhận ưu đãi 308 triệu đồng,"Mức ưu đãi tương đương hàng trăm triệu đồng được Subaru Việt Nam áp dụng cho hai mẫu SUV chủ lực Forester và Crosstrek, trong tháng 11.","Motor Image, nhà phân phối chính thức của Subaru tại Việt Nam tung loạt ưu đãi trị giá 308 triệu đồng dành cho Forester, bao gồm: 5 năm bảo dưỡng miễn phí, 5 năm bảo hiểm thân vỏ, hỗ trợ lệ phí trước bạ và đăng ký xe. Xe được bảo hành 5 năm không giới hạn km.
Với Crosstrek, mức hỗ trợ cao nhất 258 triệu đồng, gồm 100% lệ phí trước bạ, tặng kèm bộ cốp điện tiện ích. Xe cũng được bảo hành 5 năm không giới hạn km. Cả hai gói ưu đãi đều được áp dụng khi mua xe và không quy đổi thành tiền mặt. Theo hãng, đây là mức ưu đãi cao nhất của Subaru tại Việt Nam trong năm nay. Chương trình này diễn ra trước thời điểm Forester thế hệ mới dự kiến ra mắt ngày 12/11.
Forester là dòng xe chủ lực của Subaru tại thị trường Việt Nam nhiều năm qua, cạnh tranh các đối thủ như Honda CR-V hay Mazda CX-5. Xe lắp động cơ boxer 2.0 nằm ngang đối xứng, điểm đặc trưng của Subaru, giúp hạ thấp thân xe, cải thiện khả năng ổn định khi vận hành. Forester dùng khung gầm toàn cầu Subaru Global Platform và hệ dẫn động 4 bánh toàn thời gian đối xứng SAWD là trang bị tiêu chuẩn.
Xe trang bị gói công nghệ hỗ trợ người lái EyeSight 4.0, gồm các tính năng: phanh tự động khẩn cấp, giữ làn đường chủ động, kiểm soát hành trình thích ứng. Nội thất bố trí hướng đến không gian cho gia đình.
Crosstrek ra mắt thị trường Việt Nam năm 2024, sử dụng nền tảng khung gầm Subaru Global Platform cải tiến, chiều dài khoảng 4,4 m, khoảng sáng gầm 220 mm. Hệ dẫn động 4 bánh toàn thời gian đối xứng SAWD là trang bị tiêu chuẩn, có gói an toàn chủ động EyeSight 4.0, bổ sung camera góc rộng giúp mở rộng tầm quan sát và nhận diện vật thể phía trước. Ngoài ra, xe có kiểm soát hành trình, giữ làn đường và phanh khẩn cấp.
Crosstrek có lựa chọn phiên bản hybrid hướng đến nhóm khách ưa khả năng tiết kiệm nhiên liệu và giảm phát thải. Theo hãng này, cả hai mẫu xe đều đạt tiêu chuẩn an toàn cao nhất ""Top Safety Pick"" do Viện Bảo hiểm An toàn giao thông Mỹ (IIHS) công bố, đồng thời Subaru thường nằm top 3 hãng xe có độ tin cậy cao nhất, theo khảo sát của JD Power và Consumer Reports.
Quang Anh"
https://vnexpress.net/oto-trung-quoc-co-san-voi-tam-nuoc-nong-4961469.html,Ôtô Trung Quốc có sẵn vòi tắm nước nóng,Chiếc SUV hạng sang IM LS9 có mức giá khởi điểm 336.900 nhân dân tệ (46.800 USD) với nền tảng hybrid 800 V và vòi sen tích hợp.,"Mẫu SUV chủ lực mới của IM Motors, LS9, sẽ ra mắt tại Trung Quốc vào ngày 12/11. Công ty đã mở đơn đặt hàng trước vào ngày 4/11 và chỉ trong vòng 30 phút, đã có hơn 8.000 lượt đặt hàng.
Bên cạnh phạm vi hoạt động 1.508 km, nền tảng hybrid 800 V và cabin kỹ thuật số cao cấp, điều thực sự thu hút sự chú ý của công chúng là một tính năng khác biệt hơn nhiều: LS9 trang bị vòi sen.
LS9 áp dụng ngôn ngữ thiết kế mới nhất của IM với phần đầu xe kín, dải đèn liền mạch và đèn pha hình chữ L đặc trưng. Cản trước tích hợp các khe hút gió rộng. Tính năng nổi bật nhất là đèn chiếu thông minh siêu rộng, đủ để chiếu sáng một sân vận động nhỏ.
Khoang lái tập trung vào màn hình 5K 27,1 inch, bổ sung bởi màn hình phụ 15,6 inch, tạo nên khoang lái hoàn toàn kỹ thuật số. Mẫu xe này cũng giới thiệu hệ thống âm thanh B&O cho dòng sản phẩm IM và ra mắt ghế massage cơ học 4D. Cấu hình 6 chỗ (2+2+2) cùng màn hình trần 21,5 inch cho hàng ghế thứ hai, với các ghế độc lập có chức năng thông gió, sưởi ấm và massage.
Vòi sen gắn cố định vào phía sau xe LS9. Khi mở cốp sau, một lều tắm nhỏ gọn có thể được treo từ cửa sau, lấy nước từ bình chứa 10 lít, có thể làm nóng đến 45 độ C trong vòng 10 phút bằng bộ tản nhiệt 1.200 W.
LS9 vận hành trên hệ thống mở rộng phạm vi hoạt động ""Stellar"" của IM, kết hợp động cơ 1.5T và môtơ điện, cho tổng công suất 522 mã lực và mô-men xoắn 670 Nm. Hai tùy chọn pin, 52 kWh và 66 kWh, cung cấp phạm vi hoạt động hoàn toàn bằng điện lên đến 402 km và tổng phạm vi hoạt động là 1.508 km. Nền tảng silicon carbide 800 V cho phép xe tăng tốc 0-100 km/h trong khoảng 4 giây.
Công nghệ khung gầm bao gồm khung gầm kỹ thuật số 3.0 Lynx của IM, hệ thống treo khí nén thông minh hai buồng và hệ thống lái 4 bánh, bán kính vòng quay 4,95 m. LS9 cũng trang bị hệ thống lidar với phạm vi hoạt động 300 m và chip Nvidia Thor, cho phép hỗ trợ lái xe tiên tiến L3.
IM là liên doanh xe điện thành lập năm 2020 với sự tham gia của SAIC (54% cổ phần), công ty công nghệ Zhangjiang Hi-Tech (18%) và tập đoàn Alibaba (18%). Tại Trung Quốc, hãng đang bán 4 mẫu xe, gồm hai sedan và hai SUV, với LS9 là sản phẩm thứ 5.
Mỹ Anh(theoCarNewsChina)"
https://vnexpress.net/nguoi-di-xe-may-suyt-nga-khi-qua-go-giam-toc-nhu-dat-bay-4961040.html,Người đi xe máy suýt ngã khi qua gờ giảm tốc như đặt bẫy,Ấn ĐộCác gờ to nhỏ xen kẽ và nhô cao khỏi mặt đường mà không có bất cứ dấu hiệu cảnh báo nào khiến nhiều xe máy suýt ngã.,"Đường cầu vượt Adivasi Shahid Govari, thường được gọi là cầu vượt Sitabuldi, ở thành phố Nagpur, bang Maharashtra, một lần nữa trở thành mối lo ngại cho người tham gia giao thông. Vốn là nơi xảy ra tai nạn thường xuyên và đầy ổ gà, đoạn đường này giờ đây càng trở nên nguy hiểm hơn do việc xây dựng đột ngột bốn gờ giảm tốc lớn, theoNagpur Today.
Điều khiến nhiều người lo lắng là những gờ giảm tốc này xuất hiện mà không hề có bất kỳ thông báo trước đó, không biển báo cảnh báo, rào chắn hay vạch kẻ phản quang. Những người thường xuyên lái xe qua đây cho biết họ thấy sợ hãi thường trực, vì địa điểm này trở nên khó lường và không an toàn, đặc biệt là trong giờ cao điểm và điều kiện tầm nhìn hạn chế.
Người dân chỉ trích chính quyền thành phố vì sự tắc trách, chỉ ra rằng những công trình không có biển báo này vi phạm các quy định an toàn giao thông cơ bản. ""Cầu vượt vốn đã xuống cấp. Giờ đây, những gờ giảm tốc không có biển báo này càng khiến nó trở nên nguy hiểm hơn"", một người thường xuyên sử dụng tuyến đường này cho biết.
Về sự nguy hiểm của những gờ giảm tốc bất thường ở Nagpur, tờTimes of India(TOI) đặt tiêu đề bài viết là ""Gờ giảm tốc khổng lồ trên cầu vượt Gowari biến thành gờ giảm tốc làm gãy xương"". TheoTOI, đã có nhiều người đi xe máy bị ngã trong vòng hai ngày trước khi bài báo được đăng tải (7/11).
Mỹ Anh"
https://vnexpress.net/loat-xe-omoda-jaecoo-giam-gia-hang-chuc-trieu-dong-thang-11-4961558.html,"Loạt xe Omoda, Jaecoo giảm giá hàng chục triệu đồng tháng 11","Nhà phân phối hai thương hiệu Trung Quốc khuyến mãi 80-100% lệ phí trước bạ để kích cầu cho các dòng xe như C5, J7.","Giữa bối cảnh thị trường giảm giá trên diện rộng, hai thương hiệu được phân phối bởi Geleximco làOmoda,Jaecoocũng không ngoại lệ. Tất cả các mẫu xe của hai hãng Trung Quốc đều khuyến mãi bằng hình thức ưu đãi lệ phí trước bạ.
Dòng CUV cỡ B,Omoda C5hỗ trợ 100% lệ phí trước bạ cho khách mua. Với giá bán 539-669 triệu đồng, mức giảm của xe tại đại lý khoảng 54-67 triệu đồng tùy phiên bản. Giá bản tiêu chuẩn của C5 sau khuyến mãi xuống còn 485 triệu, ngang ngửa các mẫu CUV cỡ A+ như Hyundai Venue, Toyota Raize.
Hiện các đối thủ của C5 như Hyundai Creta, Toyota Yaris Cross, Mitsubishi Xforce cũng đang áp dụng mức hỗ trợ 50-100% lệ phí trước bạ.
Trên dòng CUV cỡ C,Jaecoo J7(739-879 triệu đồng), hãng áp dụng mức giảm 60-80 triệu đồng, tương đương hỗ trợ 80% lệ phí trước bạ. Đây là lần giảm giá cao nhất từ khi mở bán của mẫu xe gầm cao đến từ Trung Quốc.
Dải sản phẩm của Omoda, Jaecoo hiện còn khiêm tốn khi mới có hai mẫu là C5 và J7. Sắp tới, hai thương hiệu thuộc tập đoàn Chery (Trung Quốc) sẽ ra mắt thêm Jaecoo J6, mẫu CUV cỡ B+ thuần điện.
Hôm 3/11, nhà phân phối Geleximco và đối tác Chery khởi công xây dựng nhà máy ở Hưng Yên, chuyên sản xuất, lắp ráp xe hai thương hiệu Omoda, Jaecoo. Tính đến hiện tại, đây là hãng Trung Quốc (kinh doanh xe con) đầu tư nhà máy duy nhất ở thị trường Việt. Xe của các thương hiệu đồng hương như Geely, Lynk & Co, BYD... đều nhập khẩu từ các nước láng giềng trong Đông Nam Á hoặc Trung Quốc.
Phạm Trung"
https://vnexpress.net/vua-lai-xe-vua-dung-dien-thoai-bieu-hien-coi-thuong-tinh-mang-4954942.html,"'Vừa lái xe vừa dùng điện thoại, biểu hiện coi thường tính mạng'","Một tay cầm điện thoại, một tay điều khiển xe, hai con mắt dán chặt vào màn hình là nguyên nhân của không biết bao nhiêu tai nạn.","Thật khó hiểu khi giữa dòng xe cộ đông đúc, vẫn có những người ""bất chấp sinh mạng"", mải mê nhắn tin, xem mạng xã hội hay gọi điện ngay trên đường. Họ dường như quên rằng chỉ một giây lơ là thôi, tai nạn có thể xảy ra. Một cú va chạm, một cú ngã, hậu quả có thể là thương tật suốt đời hoặc thậm chí mất đi mạng sống. Những người đó không chỉ gây nguy hiểm cho bản thân mà còn đe dọa an toàn của những người xung quanh như người đi bộ, người đi xe đạp, lái ôtô hay xe máy khác.
Hành vi vừa đi xe vừa dùng điện thoại là vi phạm luật giao thông. Luật Giao thông đường bộ đã quy định rõ: người điều khiển phương tiện không được sử dụng điện thoại di động khi đang lái xe. Tuy nhiên, không ít người vẫn coi thường quy định ấy, xem như chuyện nhỏ. Cảnh tượng người chạy xe máy, đầu cúi xuống điện thoại, loạng choạng giữa đường khiến ai nhìn thấy cũng phải thót tim. Đó không chỉ là sự bất cẩn mà còn là thiếu ý thức, thiếu tôn trọng mạng sống con người.
Cần phải lên án mạnh mẽ và xử phạt nghiêm khắc hành vi này. Cảnh sát giao thông nên tăng cường kiểm tra, xử lý, không để tình trạng nhắc không sợ, phạt rồi vẫn tái phạm. Đồng thời, mỗi người cần tự nâng cao ý thức: không có tin nhắn, cuộc gọi hay video nào đáng giá bằng mạng sống của mình.
Không chỉ người đi xe máy, lái xe ôtô cũng không thoát khỏi ""ma lực"" của màn hình điện thoại. Một tay điều khiển vô-lăng, tay còn lại và mắt dán chặt vào màn hình, thỉnh thoảng liếc qua đường một cách hời hợt. Họ nhắn tin, lướt mạng xã hội, thậm chí xem video khi đang lưu thông.
Chỉ cần một giây lơ đễnh, một cú đánh lái chậm trễ, hay một cái phanh gấp đều có thể cướp đi sinh mạng của người khác. Nhiều người chủ quan, nghĩ rằng ""chỉ xem một chút thôi"", ""chỉ nhắn tin vài giây"". Họ không biết rằng, chỉ trong 3 giây mất tập trung, xe đã có thể đi hàng chục mét mà không được kiểm soát. Trên đường phố hay cao tốc, khoảng cách đó đủ để tạo nên một thảm kịch.
Những chiến dịch tuyên truyền, những biển cảnh báo ""Đã uống rượu bia – không lái xe"" cần được mở rộng thêm: ""Đang lái xe – đừng dùng điện thoại"". Hai hành vi này có mức độ nguy hiểm là như nhau. Hãy tự hỏi: một tin nhắn, một cuộc gọi hay một bức ảnh đáng giá bao nhiêu so với sinh mạng?
Mỗi khi cầm điện thoại khi đang lái xe, hãy nhớ rằng, chỉ một giây mất tập trung có thể đổi bằng cả đời ân hận. Sự an toàn của bản thân và những người xung quanh đáng giá hơn bất cứ thông báo nào trên màn hình. Hãy dừng lại, cất điện thoại xuống, và lái xe bằng cả hai tay và bằng cả sự tôn trọng đối với cuộc sống.
Độc giảVũ Vũ"
https://vnexpress.net/renault-twingo-e-tech-xe-dien-gia-re-chau-au-dau-xe-trung-quoc-4961019.html,Renault Twingo E-Tech- xe điện giá rẻ châu Âu đấu xe Trung Quốc,"PhápMẫu xe điện nội thị với môtơ điện 81 mã lực và pin 27,5 kWh cùng mức giá dự kiến 23.000 USD sẽ là đối thủ với BYD Dolphin Surf.","Renault giữ mọi thứ đơn giản, sử dụng phiên bản rút gọn của nền tảng AmpR Small trang bị cho các mẫu 4, 5 và Nissan Micra - phiên bản song sinh của 5. Tuy nhiên, trong khi mẫu 5 cho phép người mua lựa chọn pin 40 kWh hoặc 52 kWh, Twingo E-Tech lại sử dụng pin LFP 27,5 kWh nhỏ hơn nhiều để giảm chi phí và phù hợp với mục đích sử dụng trong đô thị.
Renault cho biết bộ pin này sử dụng một loại hóa chất mới, ít phụ thuộc vào coban và niken hơn, cho phạm vi hoạt động theo tiêu chuẩn WLTP là 262 km. Sạc DC bị giới hạn ở mức 50 kW trên Twingo, nhưng điều này nên được xem xét trong bối cảnh kích thước pin. Vì pin nhỏ nên việc sạc đầy 10-80% mất khoảng 30 phút.
Các thông số về công suất và hiệu suất cũng theo xu hướng tương tự: ở mức chấp nhận được. Cấu hình duy nhất có sẵn khi ra mắt bao gồm một môtơ đặt trước, tạo ra công suất 81 mã lực và mô-men xoắn ấn tượng hơn một chút là 175 Nm.
Twingo tăng tốc 0-100 km/h mất 12,1 giây. Nhưng môi trường lý tưởng của Twingo là các con phố châu Âu, bãi đỗ xe siêu thị, nên thông số này là chấp nhận được.
Điểm nhấn ở đây không phải là hệ truyền động - mà là thiết kế ngoại thất. Với chiều dài chỉ 3.790 mm, chiều dài cơ sở 2.490 mm và trọng lượng chỉ 1.200 kg, Twingo mang đến không gian nội thất mà Renault cho là phù hợp với người lớn, sánh ngang với những mẫu xe cùng phân khúc.
Hai ghế sau trượt độc lập có thể di chuyển lên đến 170 mm để đổi chỗ để chân lấy không gian chứa hành lý, nơi có dung tích đến 360 lít hoặc hơn 1.000 lít nếu gập hàng ghế sau. Để so sánh, một chiếc Fiat 500e chỉ có một nửa dung tích này, chiếc Renault 5 được cho là lớn hơn chỉ cung cấp 326 lít, và thậm chí một chiếc Volkswagen Golf lớn hơn nữa cũng chỉ cung cấp 381 lít. Ngoài ra, khoang chứa đồ dưới sàn 50 lít.
Ở cabin, Renault đã nỗ lực hết sức để giữ lại tối đa sức hút của mẫu concept, đồng thời cắt giảm đủ chi phí để đưa Twingo ra thị trường với mức giá ""dưới 20.000 bảng Anh"" (khoảng 23.000 USD), là mức giá mà Renault cần đạt được để cạnh tranh với Dolphin Surf củaBYD.
Bảng điều khiển nổi bật với viền màu đồng bộ, lớp lót trần xe ẩn họa tiết tên xe, và cần số có hình dạng như thỏi son. Cụm đồng hồ kỹ thuật số 7 inch và màn hình trung tâm 10 inch, với Google Maps và Google Assistant trên các phiên bản cao cấp.
Twingo còn có một trợ thủ đắc lực tên là Reno, có thể hỗ trợ thông tin sạc hoặc trả lời các câu hỏi, và phát ra tiếng nhạc điện tử của nhạc sĩ Pháp Jean-Michel Jarre.
Mỹ Anh(theoCarscoops)"
